,IDEmploye,IDOperation,avg_temps,avg_rendement,most_used_machine,most_used_chain,Sexe,EtatCivil,Specialite,IDChaineMontage,TauxHoraire,Allure,Status,Age,Expertise
353,193,1492,13.3,63.33,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
354,193,1497,30.5,23.46,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
355,193,1498,11.25,14.8,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
356,193,1499,46.875,46.025,15,13,2,1,Finition,13,4.845,45.0,1,43.0,11
358,193,1503,17.5,32.41,5,13,2,1,Finition,13,4.845,45.0,1,43.0,11
359,193,1506,7.5,23.44,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
366,193,1581,63.0,23.77,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
367,193,1595,16.0,21.05,16,13,2,1,Finition,13,4.845,45.0,1,43.0,11
369,193,1604,5.0,15.470000000000002,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
370,193,1615,46.5,16.259999999999998,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
373,193,1638,30.5,10.13,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
374,193,1640,52.5,26.25,12,13,2,1,Finition,13,4.845,45.0,1,43.0,11
379,193,1686,20.666666666666668,19.205,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
384,193,1747,95.0,32.53,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
385,193,1781,54.0,31.21,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
390,193,1819,41.25,22.56,16,13,2,1,Finition,13,4.845,45.0,1,43.0,11
395,193,1902,25.5,31.48,13,13,2,1,Finition,13,4.845,45.0,1,43.0,11
396,193,1938,3.2,80.0,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
401,193,1970,31.5,12.96,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
402,193,1978,24.0,12.7,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
403,193,1985,62.5,23.755,12,13,2,1,Finition,13,4.845,45.0,1,43.0,11
405,193,1990,6.65,11.6425,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
408,193,2011,29.75,48.77,3,13,2,1,Finition,13,4.845,45.0,1,43.0,11
409,193,2035,16.5,18.5475,12,13,2,1,Finition,13,4.845,45.0,1,43.0,11
412,193,2056,38.5,25.16,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
414,193,2076,40.5,25.8,1,15,2,1,Finition,13,4.845,45.0,1,43.0,11
418,193,2088,10.075,30.59,12,13,2,1,Finition,13,4.845,45.0,1,43.0,11
419,193,2100,28.0,18.54,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
423,193,2164,7.2,32.915,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
424,193,2187,36.55,17.995,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
427,193,2213,18.0,50.0,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
